pos,last_pos,change,url,name,country,points,best6,team,team points,westerley points,best,race count,win count,2nd count,3rd count
1,,*,https://rgtdb.com/user/160071,Wouter Claes [ṀṚ],Belgium,100,100,MOON RIDERS 1,100,0,1,1,1,0,0
2,,*,https://rgtdb.com/user/185830,James Currie sdw b,,99,99,,0,0,2,1,0,1,0
3,,*,https://rgtdb.com/user/39166,Ned Bowen [d],USA,98,98,,0,0,3,1,0,0,1
4,,*,https://rgtdb.com/user/126963,Miles Askew [ṀṚ],,97,97,MOON RIDERS 1,97,0,4,1,0,0,0
5,,*,https://rgtdb.com/user/131274,Jan Deca [яʀ],Belgium,96,96,RASIO RACING,96,0,5,1,0,0,0
6,,*,https://rgtdb.com/user/79121,James Melville,UK,95,95,GLASGOW UNITED CC,95,0,6,1,0,0,0
7,,*,https://rgtdb.com/user/54380,Chris Morgan,,94,94,,0,0,7,1,0,0,0
8,,*,https://rgtdb.com/user/37884,Will Stone [tlr],,93,93,,0,0,8,1,0,0,0
9,,*,https://rgtdb.com/user/159472,Daniel  Schoch [ṀṚ],,92,92,MOON RIDERS 2,92,0,9,1,0,0,0
10,,*,https://rgtdb.com/user/79305,Carlos Cela,Espana,91,91,,0,0,10,1,0,0,0
11,,*,https://rgtdb.com/user/95553,J. Sammut (a),UK,90,90,TEAM POCOMOTION,90,0,11,1,0,0,0
12,,*,https://rgtdb.com/user/134948,Nick Greenhalghяʀ,UK,89,89,RASIO RACING,89,20,12,1,0,0,0
13,,*,https://rgtdb.com/user/103369,Kader Allouni poco,UK,88,88,TEAM POCOMOTION,88,0,13,1,0,0,0
14,,*,https://rgtdb.com/user/155757,Jan Linden poco,Netherlands,87,87,,0,0,14,1,0,0,0
15,,*,https://rgtdb.com/user/134810,Jonathan Crain,,86,86,,0,0,15,1,0,0,0
16,,*,https://rgtdb.com/user/42607,Brian Vince [wvs],,85,85,WATFORD VELO SPORT RT,85,0,16,1,0,0,0
17,,*,https://rgtdb.com/user/143480,Mark Rowbottom яʀ,UK,84,84,,0,0,17,1,0,0,0
18,,*,https://rgtdb.com/user/70138,Andrew Beale c,UK,83,83,WESTERLEY TWO,83,19,18,1,0,0,0
19,,*,https://rgtdb.com/user/621,Jared Millar (m),,82,82,,0,0,19,1,0,0,0
20,,*,https://rgtdb.com/user/132783,Mathias  Bergkvist,Sweden,81,81,,0,0,20,1,0,0,0
21,,*,https://rgtdb.com/user/84367,Doug Hart,,80,80,,0,0,21,1,0,0,0
