pos,last_pos,change,url,name,country,points,best6,team,team points,westerley points,best,race count,win count,2nd count,3rd count
1,1,-,https://rgtdb.com/user/160071,Wouter Claes [ṀṚ],Belgium,199,199,MOON RIDERS 1,199,0,1,2,1,1,0
2,3,▲,https://rgtdb.com/user/39166,Ned Bowen [d],USA,198,198,,0,0,1,2,1,0,1
3,2,▼,https://rgtdb.com/user/185830,James Currie sdw b,,197,197,SOUTHBOROUGH (SDW) BEES,197,0,2,2,0,1,1
4,6,▲,https://rgtdb.com/user/79121,James Melville,UK,191,191,GLASGOW UNITED CC,191,0,5,2,0,0,0
5,4,▼,https://rgtdb.com/user/126963,Miles Askew [ṀṚ],,189,189,MOON RIDERS 1,189,0,4,2,0,0,0
6,10,▲,https://rgtdb.com/user/79305,Carlos Cela,Espana,186,186,,0,0,6,2,0,0,0
7,12,▲,https://rgtdb.com/user/134948,Nick Greenhalghяʀ,UK,183,183,RASIO RACING,183,40,7,2,0,0,0
7,11,▲,https://rgtdb.com/user/95553,J. Sammut (a),UK,183,183,POCOMOTION,183,0,8,2,0,0,0
9,13,▲,https://rgtdb.com/user/103369,Kader Allouni poco,UK,179,179,POCOMOTION,179,0,10,2,0,0,0
10,14,▲,https://rgtdb.com/user/155757,Jan Linden poco,Netherlands,171,171,POCOMOTION,0,0,14,2,0,0,0
11,20,▲,https://rgtdb.com/user/132783,Mathias  Bergkvist,Sweden,168,168,,0,0,14,2,0,0,0
11,19,▲,https://rgtdb.com/user/621,Jared Millar (m),,168,168,,0,0,15,2,0,0,0
13,22,▲,https://rgtdb.com/user/141761,Alasdair Mcalpine,UK,164,164,GLASGOW UNITED CC,164,0,16,2,0,0,0
14,21,▲,https://rgtdb.com/user/84367,Doug Hart,,161,161,,0,0,20,2,0,0,0
15,34,▲,https://rgtdb.com/user/67054,Johan Oelofse sanz,New Zealand,156,156,TEAM SANZ,156,0,12,2,0,0,0
16,16,-,https://rgtdb.com/user/42607,Brian Vince [wvs],,155,155,WATFORD VELO SPORT RT,155,0,16,2,0,0,0
17,32,▲,https://rgtdb.com/user/36792,Francois Iker [ṀṚ],Belgium,152,152,,0,0,18,2,0,0,0
18,33,▲,https://rgtdb.com/user/140561,Shawn Murtough,,150,150,,0,0,19,2,0,0,0
19,31,▲,https://rgtdb.com/user/198726,Mario  Cavelius,,143,143,,0,0,28,2,0,0,0
20,40,▲,https://rgtdb.com/user/150787,Paul Hindson,,141,141,,0,0,21,2,0,0,0
21,37,▲,https://rgtdb.com/user/171135,Tomasz Poniatow. ṀṚ,Poland,140,140,MOON RIDERS 1,0,0,25,2,0,0,0
22,28,▲,https://rgtdb.com/user/96541,Carl Dickason,New Zealand,139,139,TEAM SANZ,139,0,28,2,0,0,0
23,44,▲,https://rgtdb.com/user/175915,Kristen Ege poco,Danmark,136,136,,0,0,22,2,0,0,0
24,38,▲,https://rgtdb.com/user/6305,Mike Ade,UK,134,134,,0,0,30,2,0,0,0
24,41,▲,https://rgtdb.com/user/223310,Flemming Bach (m),,134,134,,0,0,27,2,0,0,0
26,30,▲,https://rgtdb.com/user/267104,Simon  Hall [wvs],,129,129,WATFORD VELO SPORT RT,71,0,30,2,0,0,0
27,50,▲,https://rgtdb.com/user/177844,Tom  Moss sdw,UK,126,126,SOUTHBOROUGH (SDW) STINGERS,126,0,26,2,0,0,0
28,45,▲,https://rgtdb.com/user/21747,Matthew Feely,Eire,121,121,,0,0,36,2,0,0,0
29,43,▲,https://rgtdb.com/user/170063,Marco Verhoogt,Netherlands,120,120,,0,0,39,2,0,0,0
30,36,▲,https://rgtdb.com/user/97222,Paulo Almeida,Portugal,119,119,,0,0,36,2,0,0,0
31,55,▲,https://rgtdb.com/user/177199,Julian Fussell sdw,UK,110,110,SOUTHBOROUGH (SDW) HORNETS,64,0,37,2,0,0,0
32,46,▲,https://rgtdb.com/user/175441,Tomas Nygren,Sweden,105,105,,0,0,46,2,0,0,0
32,64,▲,https://rgtdb.com/user/126796,Simon Miller sdw,UK,105,105,SOUTHBOROUGH (SDW) STINGERS,0,0,33,2,0,0,0
32,52,▲,https://rgtdb.com/user/96645,Marcin SzkudlarekṀṚ,Poland,105,105,SATELITE RIDERS,105,0,45,2,0,0,0
32,48,▲,https://rgtdb.com/user/229031,Kasper Hededam,Danmark,105,105,,0,0,48,2,0,0,0
32,49,▲,https://rgtdb.com/user/91958,Gt Thakkar,UK,105,105,WESTERLEY ONE,105,36,48,2,0,0,0
