pos,userurl,name,rgt_teamname,vr_teamname,team_qualifier,westerley_pos,time_secs,delta_secs,wkg,country,time_human,delta_human
1,/user/160071,Wouter Claes,ṀṚ,MOON RIDERS 1,True,,1200.8,0.0,4.07,Belgium,20:00.800,00:00.000
2,/user/218381,Tim Cooke 3r,3R,,,,1200.8,0.024,3.54,,20:00.800,00:00.024
3,/user/17957,Tom Gakes,[D],,,,1200.9,0.062,3.85,Netherlands,20:00.900,00:00.062
4,/user/84367,Doug Hart,ICC,,,,1201.1,0.246,4.3,,20:01.100,00:00.246
5,/user/232156,Joshua Smitharoo89,,,,,1201.1,0.318,3.83,,20:01.100,00:00.318
6,/user/188139,Per Soderberg,OTR team g,,,,1201.2,0.437,3.8,,20:01.200,00:00.437
7,/user/270710,Jack Samways[wvs],,WATFORD VELO SPORT RT,True,,1201.3,0.447,4.48,,20:01.300,00:00.447
8,/user/242367,Micke  Gustafsson ,,,,,1201.3,0.455,4.53,,20:01.300,00:00.455
9,/user/198726,Mario  Cavelius,,,,,1201.3,0.527,4.13,,20:01.300,00:00.527
10,/user/95553,J. Sammut poco,Pocomotion,POCOMOTION,True,,1201.4,0.584,4.24,UK,20:01.400,00:00.584
11,/user/132783,Mathias  Bergkvist,,,,,1201.4,0.618,4.11,Sweden,20:01.400,00:00.618
12,/user/283363,Mattias Lundqvist,RGTSWE,,,,1201.5,0.698,4.55,,20:01.500,00:00.698
13,/user/175915,Kristen Ege poco,Pocomotion,,,,1201.7,0.907,3.8,Danmark,20:01.700,00:00.907
14,/user/134948,Nick Greenhalghяʀ (o),яʀ,RASIO RACING,True,1,1202.0,1.161,4.19,UK,20:02.000,00:01.161
15,/user/29961,Mathieu Drujon (spc),SPC,,,,1202.4,1.629,3.57,,20:02.400,00:01.629
16,/user/79121,James Melville,,GLASGOW UNITED CC,True,,1202.7,1.891,4.23,UK,20:02.700,00:01.891
17,/user/141761,Alasdair Mcalpine,,GLASGOW UNITED CC,True,,1205.0,4.191,5.08,UK,20:05.000,00:04.191
18,/user/229031,Kasper Hededam,eCKD(GP),,,,1211.6,10.827,4.9,Danmark,20:11.600,00:10.827
19,/user/284437,Ryan Sedivec,,,,,1211.7,10.849,4.28,,20:11.700,00:10.849
20,/user/254894,A. Ussie king.  :-) 3r,3R-TLR,,,,1218.9,18.096,4.03,,20:18.900,00:18.096
21,/user/42607,Brian Vince [wvs],,WATFORD VELO SPORT RT,True,,1220.6,19.769,4.47,,20:20.600,00:19.769
22,/user/225733,Jonas Van der wiel,,,,,1227.8,27.04,4.82,,20:27.800,00:27.040
23,/user/61282,Daniel Neugebauer,Pedalers,,,,1234.6,33.834,4.25,Deutschland,20:34.600,00:33.834
24,/user/79305,Carlos Cela,,,,,1237.5,36.729,4.02,Espana,20:37.500,00:36.729
25,/user/69430,Mat Hammond,,,,,1243.6,42.821,4.15,,20:43.600,00:42.821
26,/user/185830,James Currie sdw b,SDW,SOUTHBOROUGH (SDW) BEES,True,,1244.6,43.783,3.52,,20:44.600,00:43.783
27,/user/171135,Tomasz Poniatowski [ṀṚ],ṀṚ,MOON RIDERS 1,True,,1244.6,43.841,3.08,Poland,20:44.600,00:43.841
28,/user/39166,Ned Bowen,[D],,,,1244.7,43.868,3.85,USA,20:44.700,00:43.868
29,/user/6305,Mike Ade,OTR Racing,,,,1244.7,43.913,3.78,UK,20:44.700,00:43.913
30,/user/270702,Stuart Gillies tcc,,TWICKENHAM CC,True,,1245.5,44.72,3.77,,20:45.500,00:44.720
31,/user/141031,Kevan Unsworth (m),,TEAM CAMERON,True,,1245.6,44.75,2.6,UK,20:45.600,00:44.750
32,/user/143480,Mark Rowbottom яʀ,яʀ,RASIO RACING,True,,1249.7,48.856,4.21,UK,20:49.700,00:48.856
33,/user/196524,Mike Wareham (ṀṚ),ṀṚ,,,,1249.8,49.007,3.13,,20:49.800,00:49.007
34,/user/274579,Jonathan Frost [tcc],,TWICKENHAM CC,True,,1249.9,49.083,4.35,,20:49.900,00:49.083
35,/user/261662,Rocket Roy nield (c),,,,,1250.0,49.165,4.62,,20:50.000,00:49.165
36,/user/126796,Simon Miller sdw,SDWasps,SOUTHBOROUGH (SDW) BEES,True,,1250.0,49.217,3.78,UK,20:50.000,00:49.217
37,/user/192224,Luigi Piollini,,,,,1256.8,55.983,4.66,,20:56.800,00:55.983
38,/user/165638,Mads Schnoor poco,Pocomotion,,,,1288.3,87.451,3.34,Danmark,21:28.300,01:27.451
39,/user/70138,Andrew Beale c,,WESTERLEY TWO,True,2,1288.7,87.856,3.54,UK,21:28.700,01:27.856
40,/user/177199,Julian Fussell sdw,SDW,SOUTHBOROUGH (SDW) HORNETS,True,,1289.1,88.268,3.98,UK,21:29.100,01:28.268
41,/user/158558,Buck Rogers,,,,,1289.1,88.27,3.95,,21:29.100,01:28.270
42,/user/288741,Brian Detwiler,,,,,1289.1,88.285,4.61,,21:29.100,01:28.285
43,/user/21747,Matthew Feely,,,,,1289.3,88.541,3.73,Eire,21:29.300,01:28.541
44,/user/269485,Moreno Ceccon (b 48),,,,,1289.4,88.56700000000001,3.0,,21:29.400,01:28.567
45,/user/66828,Even Oistensen 3r,3R,,,,1289.9,89.04599999999999,3.54,,21:29.900,01:29.046
46,/user/96645,Marcin Szkudlarek [ṀṚ],ṀṚ,SATELITE RIDERS,True,,1290.0,89.236,3.71,Poland,21:30.000,01:29.236
47,/user/57107,Ragnar Laan (tcc),,,,,1293.6,92.821,3.33,,21:33.600,01:32.821
48,/user/183281,Chris Duffy bees,SDW,SOUTHBOROUGH (SDW) STINGERS,True,,1295.7,94.878,3.18,UK,21:35.700,01:34.878
49,/user/175441,Tomas Nygren,,,,,1296.1,95.275,2.55,Sweden,21:36.100,01:35.275
50,/user/86973,David wcc Buckley wcc,,WESTERLEY ONE,True,3,1296.1,95.287,3.2,UK,21:36.100,01:35.287
51,/user/150787,Paul Hindson,,,,,1296.6,95.767,3.73,,21:36.600,01:35.767
52,/user/267104,Simon  Hall [wvs],,WATFORD VELO SPORT RT,False,,1297.1,96.332,4.68,,21:37.100,01:36.332
53,/user/177844,Tom  Moss sdw,SDW,SOUTHBOROUGH (SDW) STINGERS,True,,1298.2,97.4,3.62,UK,21:38.200,01:37.400
54,/user/193520,David Ellis (c) m,,,,,1311.3,110.48599999999999,3.07,UK,21:51.300,01:50.486
55,/user/143668,Stu Thorn,,,,,1311.6,110.76599999999999,3.44,,21:51.600,01:50.766
56,/user/243207,Ian Sudds (m),,,,,1311.7,110.932,3.66,,21:51.700,01:50.932
57,/user/163790,Todd Lorbecki ,,,,,1311.8,110.964,3.64,,21:51.800,01:50.964
58,/user/93030,Jacek Rorbach,,,,,1312.1,111.28,3.46,,21:52.100,01:51.280
59,/user/198978,Harry (arry) smits (o),,,,,1312.2,111.35300000000001,3.98,,21:52.200,01:51.353
60,/user/94149,James Dicks,,,,,1312.4,111.619,4.49,,21:52.400,01:51.619
61,/user/159111,Witek Rzeszutek [ṀṚ],ṀṚ,,,,1325.7,124.936,3.55,,22:05.700,02:04.936
62,/user/233395,Stephane Frigiolini,,,,,1334.0,133.175,3.69,,22:14.000,02:13.175
63,/user/136617,Isithor Isithor[ṀṚ],ṀṚ,,,,1352.9,152.13400000000001,4.55,,22:32.900,02:32.134
64,/user/222269,Tom Wendland,,,,,1357.5,156.732,3.36,,22:37.500,02:36.732
65,/user/249688,Pat Herron,,,,,1357.6,156.79,4.13,UK,22:37.600,02:36.790
66,/user/132921,Iain Davidson ,,,,,1362.0,161.197,3.4,UK,22:42.000,02:41.197
67,/user/76452,Phil Dolphin b,,,,,1362.1,161.281,2.69,,22:42.100,02:41.281
68,/user/280682,Nick Pinxten,,,,,1366.2,165.36,3.62,,22:46.200,02:45.360
69,/user/56101,Tim Wood (bc),,,,,1377.8,176.981,2.92,,22:57.800,02:56.981
70,/user/280039,Crisco Lord,,,,,1378.2,177.382,3.48,,22:58.200,02:57.382
71,/user/123417,Mike Buckhurst,,,,,1378.5,177.723,3.29,USA,22:58.500,02:57.723
72,/user/221746,Tom Yates-ijaz,,WESTERLEY TWO,True,4,1378.5,177.738,3.53,UK,22:58.500,02:57.738
73,/user/252028,Ml Icetrikesuk,,,,,1378.9,178.142,3.44,,22:58.900,02:58.142
74,/user/63748,Mark Lightfoot,,,,,1379.3,178.539,3.41,,22:59.300,02:58.539
75,/user/221770,Rafael Nunez,,,,,1380.0,179.151,2.93,,23:00.000,02:59.151
76,/user/42729,Cameron Lees,,,,,1384.6,183.804,3.65,,23:04.600,03:03.804
77,/user/101319,Martin Wilson,,,,,1392.6,191.776,3.06,UK,23:12.600,03:11.776
78,/user/128827,Holly Larsen,OTR-BE,,,,1395.7,194.931,3.42,,23:15.700,03:14.931
79,/user/128814,Tim Cummins,,WESTERLEY ONE,True,5,1416.3,215.45499999999998,3.08,UK,23:36.300,03:35.455
80,/user/255577,Wendy Wonderweels-otr,OTR,,,,1416.7,215.928,3.42,,23:36.700,03:35.928
81,/user/91958,Gt Thakkar,,WESTERLEY ONE,False,6,1423.5,222.66899999999998,2.87,UK,23:43.500,03:42.669
82,/user/232622,Grant  Watson ,,,,,1423.5,222.71800000000002,2.41,,23:43.500,03:42.718
83,/user/28509,Tony Bowler (52c),,,,,1431.7,230.863,3.05,,23:51.700,03:50.863
84,/user/293955,Jarek Proczkowski ,,,,,1436.8,236.024,3.4,,23:56.800,03:56.024
85,/user/147738,Roy Lemmens,,,,,1459.3,258.464,2.96,,24:19.300,04:18.464
86,/user/278058,Claire  Miller (tcc),,TWICKENHAM CC LADIES,True,,1460.6,259.827,3.76,,24:20.600,04:19.827
