pos,userurl,name,rgt_teamname,vr_teamname,team_qualifier,westerley_pos,time_secs,delta_secs,wkg,time_human,delta_human
1,/user/79305,Carlos Cela,,,,,1293.0,0.0,3.97,21:33.000,00:00.000
2,/user/61282,Daniel Neugebauer,Pedalers,PEDALERS,True,,1293.0,0.015,3.94,21:33.000,00:00.015
3,/user/141031,Kevan Unsworth (m),,TEAM CAMERON,True,,1293.1,0.121,2.79,21:33.100,00:00.121
4,/user/39166,Ned Bowen,,TRANSATLANTIC RAIDERS,True,,1293.2,0.144,3.29,21:33.200,00:00.144
5,/user/134948,Nick Greenhalghяʀ,яʀ,RASIO RACING,True,1,1293.2,0.175,3.71,21:33.200,00:00.175
6,/user/67054,Johan Oelofse sanz,,TEAM SANZ,True,,1293.2,0.179,3.73,21:33.200,00:00.179
7,/user/106173,Hendre Knoetze sanz,,TEAM SANZ,True,,1293.2,0.202,4.03,21:33.200,00:00.202
8,/user/79121,James Melville,,GLASGOW UNITED CC,True,,1293.3,0.235,3.4,21:33.300,00:00.235
9,/user/134803,Steve Mayes (m),,,,,1293.3,0.244,3.14,21:33.300,00:00.244
10,/user/95553,J. Sammut,,TEAM POCOMOTION (BLIGHTY),True,,1293.3,0.246,3.22,21:33.300,00:00.246
11,/user/143480,Mark Rowbottom яʀ,яʀ,RASIO RACING,True,,1293.3,0.274,3.86,21:33.300,00:00.274
12,/user/35315,Mike Lister,DIRT,TRANSATLANTIC RAIDERS,True,,1293.4,0.348,3.89,21:33.400,00:00.348
13,/user/160071,Wouter Claes,MoonRiders,MOON RIDERS,True,,1293.4,0.394,3.51,21:33.400,00:00.394
14,/user/126796,Simon Miller sdw,SDW,SOUTHBOROUGH (SDW) BEES,True,,1293.5,0.464,3.14,21:33.500,00:00.464
15,/user/141761,Alasdair Mcalpine,,GLASGOW UNITED CC,True,,1293.5,0.484,3.93,21:33.500,00:00.484
16,/user/21747,Matthew Feely,,,,,1293.5,0.497,3.48,21:33.500,00:00.497
17,/user/129003,Andrzej Krajewski яʀ,яʀ,RASIO RACING,False,,1293.6,0.554,3.25,21:33.600,00:00.554
18,/user/78811,Christophe Contant[pdl],Pedalers,PEDALERS,True,,1293.6,0.606,4.34,21:33.600,00:00.606
19,/user/131830,Lawrence  Daley ,,,,,1293.7,0.643,4.22,21:33.700,00:00.643
20,/user/6305,Mike Ade otr,,,,,1293.9,0.895,3.34,21:33.900,00:00.895
21,/user/225601,Rasmus  Feldballe(m),eCKD,,,,1294.2,1.16,3.83,21:34.200,00:01.160
22,/user/178580,Timo Achenbach,MoonRiders,MOON RIDERS,True,,1296.7,3.698,4.46,21:36.700,00:03.698
23,/user/137497,Jørgen Vanbers[яʀ],яʀ,,,,1311.5,18.452,3.66,21:51.500,00:18.452
24,/user/86973,David wcc Buckley wcc,,WESTERLEY ONE,True,2,1311.6,18.574,3.16,21:51.600,00:18.574
25,/user/128814,Tim Cummins,,WESTERLEY TWO,True,3,1311.8,18.737,3.35,21:51.800,00:18.737
26,/user/62325,Ben Phillips[яʀ],яʀ,,,,1311.8,18.764,3.49,21:51.800,00:18.764
27,/user/193520,David Ellis (c) m,,,,,1312.3,19.284,3.3,21:52.300,00:19.284
28,/user/96645,Marcin Szkudlarek,MoonRiders,MOON RIDERS,False,,1312.5,19.48,3.48,21:52.500,00:19.480
29,/user/241161,Weiran Shen wcc,,WESTERLEY TWO,True,4,1312.6,19.545,3.3,21:52.600,00:19.545
30,/user/221746,Tom Yates-ijaz,,WESTERLEY FOUR,True,5,1333.4,40.355,3.7,22:13.400,00:40.355
31,/user/112505,Robin  Sanderson,OTR Racing,,,,1356.5,63.442,3.55,22:36.500,01:03.442
32,/user/165247,Dmitry Roz,,,,,1415.2,122.169,3.36,23:35.200,02:02.169
33,/user/149819,Peter Kennedy (m),,TEAM CAMERON,True,,1419.5,126.473,3.06,23:39.500,02:06.473
34,/user/252176,Josh Rosenblat,,,,,1486.4,193.425,3.28,24:46.400,03:13.425
35,/user/101319,Martin Wilson,,,,,1489.6,196.625,2.92,24:49.600,03:16.625
36,/user/65012,Dave Morrison,,WESTERLEY ONE,True,6,1509.7,216.714,3.17,25:09.700,03:36.714
37,/user/48021,Magalhães  Daniel otr m,,,,,1511.8,218.77100000000002,3.67,25:11.800,03:38.771
38,/user/138802,David Thomas,,,,,1529.8,236.761,3.54,25:29.800,03:56.761
39,/user/175441,Tomas Nygren,,,,,1530.0,237.02100000000002,2.56,25:30.000,03:57.021
40,/user/70138,Andrew Beale,,WESTERLEY TWO,False,7,1617.1,324.068,2.87,26:57.100,05:24.068
41,/user/91958,Gt Thakkar,,WESTERLEY THREE,True,8,1743.5,450.443,2.9,29:03.500,07:30.443
42,/user/249688,Pat Herron,,,,,1936.1,643.073,3.45,32:16.100,10:43.073
