pos,last_pos,change,url,name,country,points,best6,team,team points,westerley points,best,race count,win count,2nd count,3rd count
1,1,-,https://rgtdb.com/user/160071,Wouter Claes [ṀṚ],Belgium,1065,599,MOON RIDERS 1,1065,0,1,11,5,2,0
2,2,-,https://rgtdb.com/user/39166,Ned Bowen [d],USA,1002,593,,0,0,1,11,2,2,1
3,3,-,https://rgtdb.com/user/95553,J. Sammut (a),UK,982,583,POCOMOTION,947,0,2,11,0,2,2
4,5,▲,https://rgtdb.com/user/134948,Nick Greenhalghяʀ,UK,929,570,RASIO RACING,929,200,4,10,0,0,0
5,4,▼,https://rgtdb.com/user/126963,Miles Askew [ṀṚ],,659,569,MOON RIDERS 1,659,0,3,7,0,0,2
6,11,▲,https://rgtdb.com/user/84367,Doug Hart,,639,559,,0,0,2,7,0,1,0
7,6,▼,https://rgtdb.com/user/198726,Mario  Cavelius,,930,559,,0,0,4,11,0,0,0
8,7,▼,https://rgtdb.com/user/621,Jared Millar (m),,894,557,,0,0,3,10,0,0,1
9,8,▼,https://rgtdb.com/user/155757,Jan Linden poco,Netherlands,797,555,POCOMOTION,379,0,3,9,0,0,1
10,9,▼,https://rgtdb.com/user/79305,Carlos Cela,Espana,911,552,,0,0,5,11,0,0,0
11,23,▲,https://rgtdb.com/user/103369,Kader Allouni poco,UK,552,552,POCOMOTION,552,0,5,6,0,0,0
12,10,▼,https://rgtdb.com/user/79121,James Melville,UK,877,551,GLASGOW UNITED CC,877,0,5,10,0,0,0
13,12,▼,https://rgtdb.com/user/185830,James Currie sdw b,,686,540,SOUTHBOROUGH (SDW) BEES,686,0,2,8,0,1,1
14,17,▲,https://rgtdb.com/user/270710,Jack Samways[wvs],,591,540,WATFORD VELO SPORT RT,540,0,6,7,0,0,0
15,13,▼,https://rgtdb.com/user/132783,Mathias  Bergkvist,Sweden,858,535,,0,0,9,10,0,0,0
16,14,▼,https://rgtdb.com/user/143480,Mark Rowbottom яʀ,UK,661,513,RASIO RACING,577,0,10,8,0,0,0
17,15,▼,https://rgtdb.com/user/229031,Kasper Hededam,Danmark,679,512,,0,0,10,9,0,0,0
18,16,▼,https://rgtdb.com/user/141761,Alasdair Mcalpine,UK,745,500,GLASGOW UNITED CC,745,0,14,10,0,0,0
19,18,▼,https://rgtdb.com/user/61282,Daniel Neugebauer,Deutschland,557,489,,0,0,14,7,0,0,0
20,19,▼,https://rgtdb.com/user/171135,Tomasz Poniatow. ṀṚ,Poland,813,488,MOON RIDERS 1,312,0,6,11,0,0,0
21,20,▼,https://rgtdb.com/user/254894,King Ing.  :-) 3r,,475,475,,0,0,18,6,0,0,0
22,21,▼,https://rgtdb.com/user/177844,Tom  Moss sdw,UK,622,469,SOUTHBOROUGH (SDW) STINGERS,622,0,8,9,0,0,0
23,22,▼,https://rgtdb.com/user/42607,Brian Vince [wvs],,592,461,WATFORD VELO SPORT RT,461,0,16,8,0,0,0
24,24,-,https://rgtdb.com/user/150787,Paul Hindson,,776,460,,0,0,18,11,0,0,0
25,25,-,https://rgtdb.com/user/6305,Mike Ade,UK,581,458,,0,0,8,8,0,0,0
26,26,-,https://rgtdb.com/user/267104,Simon  Hall [wvs],,759,457,WATFORD VELO SPORT RT,652,0,21,11,0,0,0
27,27,-,https://rgtdb.com/user/175915,Kristen Ege poco,Danmark,452,452,,0,0,13,6,0,0,0
28,28,-,https://rgtdb.com/user/270702,Stuart Gillies tcc,,587,452,TWICKENHAM CC,519,0,19,8,0,0,0
29,29,-,https://rgtdb.com/user/70138,Andrew Beale c,UK,676,428,WESTERLEY TWO,676,187,18,10,0,0,0
30,33,▲,https://rgtdb.com/user/141031,Kevan Unsworth (m),UK,483,426,TEAM CAMERON,483,0,18,7,0,0,0
31,30,▼,https://rgtdb.com/user/177199,Julian Fussell sdw,UK,517,422,SOUTHBOROUGH (SDW) HORNETS,471,0,20,8,0,0,0
