name,points,first,second,third,fourth,extras(!)
MOON RIDERS 1,193,Wouter Claes [ṀṚ],Miles Askew [ṀṚ],Tomasz Poniatow. ṀṚ,,
POCOMOTION,189,Kader Allouni poco,J. Sammut (a),Jan Linden poco,,
RASIO RACING,175,Nick Greenhalghяʀ,Mark Rowbottom яʀ,,,
WATFORD VELO SPORT RT,167,Jack Samways[wvs],Simon  Hall [wvs],,,
GLASGOW UNITED CC,161,James Melville,Alasdair Mcalpine,,,
SATELITE RIDERS,129,Marcin SzkudlarekṀṚ,Andrew Goff,,,
WESTERLEY ONE,126,David wcc Buckley wcc,Gt Thakkar,Tim Cummins,,
TWICKENHAM CC,108,Stuart Gillies tcc,Gavin Grant,,,
TWICKENHAM CC LADIES,104,Claire  Miller,Lisa West tcc,Lorna Rowland ,Claire Thompson,
SOUTHBOROUGH (SDW) BEES,78,James Currie sdw b,,,,
WESTERLEY TWO,77,Andrew Beale c,Tom Yates-ijaz,,,
TEAM CAMERON,69,Kevan Unsworth (m),,,,
