pos,last_pos,change,url,name,country,points,best6,team,team points,westerley points,best,race count,win count,2nd count,3rd count
1,1,-,https://rgtdb.com/user/160071,Wouter Claes [ṀṚ],Belgium,788,598,MOON RIDERS 1,788,0,1,8,4,2,0
2,2,-,https://rgtdb.com/user/95553,J. Sammut (a),UK,749,569,POCOMOTION,749,0,3,8,0,0,2
3,3,-,https://rgtdb.com/user/39166,Ned Bowen [d],USA,748,586,,0,0,1,8,2,1,1
4,4,-,https://rgtdb.com/user/79305,Carlos Cela,Espana,706,552,,0,0,5,8,0,0,0
5,7,▲,https://rgtdb.com/user/198726,Mario  Cavelius,,680,537,,0,0,4,8,0,0,0
6,8,▲,https://rgtdb.com/user/134948,Nick Greenhalghяʀ,UK,643,556,RASIO RACING,643,140,5,7,0,0,0
7,9,▲,https://rgtdb.com/user/621,Jared Millar (m),,629,547,,0,0,3,7,0,0,1
8,5,▼,https://rgtdb.com/user/79121,James Melville,UK,621,538,GLASGOW UNITED CC,621,0,5,7,0,0,0
9,11,▲,https://rgtdb.com/user/132783,Mathias  Bergkvist,Sweden,613,532,,0,0,9,7,0,0,0
10,6,▼,https://rgtdb.com/user/185830,James Currie sdw b,,607,536,SOUTHBOROUGH (SDW) BEES,607,0,2,7,0,1,1
11,14,▲,https://rgtdb.com/user/171135,Tomasz Poniatow. ṀṚ,Poland,595,475,MOON RIDERS 1,312,0,6,8,0,0,0
12,15,▲,https://rgtdb.com/user/229031,Kasper Hededam,Danmark,591,486,,0,0,10,8,0,0,0
13,16,▲,https://rgtdb.com/user/150787,Paul Hindson,,553,442,,0,0,21,8,0,0,0
14,18,▲,https://rgtdb.com/user/267104,Simon  Hall [wvs],,550,443,WATFORD VELO SPORT RT,443,0,21,8,0,0,0
15,10,▼,https://rgtdb.com/user/155757,Jan Linden poco,Netherlands,534,534,POCOMOTION,192,0,5,6,0,0,0
16,20,▲,https://rgtdb.com/user/42607,Brian Vince [wvs],,525,461,WATFORD VELO SPORT RT,461,0,16,7,0,0,0
17,12,▼,https://rgtdb.com/user/141761,Alasdair Mcalpine,UK,524,496,GLASGOW UNITED CC,524,0,14,7,0,0,0
18,13,▼,https://rgtdb.com/user/6305,Mike Ade,UK,521,458,,0,0,8,7,0,0,0
19,16,▼,https://rgtdb.com/user/177844,Tom  Moss sdw,UK,475,427,SOUTHBOROUGH (SDW) STINGERS,475,0,22,7,0,0,0
19,23,▲,https://rgtdb.com/user/70138,Andrew Beale c,UK,475,414,WESTERLEY TWO,475,133,18,7,0,0,0
21,18,▼,https://rgtdb.com/user/61282,Daniel Neugebauer,Deutschland,470,470,,0,0,16,6,0,0,0
22,29,▲,https://rgtdb.com/user/84367,Doug Hart,,445,445,,0,0,2,5,0,1,0
23,25,▲,https://rgtdb.com/user/96645,Marcin SzkudlarekṀṚ,Poland,443,353,SATELITE RIDERS,443,0,34,8,0,0,0
24,26,▲,https://rgtdb.com/user/243207,Ian Sudds (m),,442,353,,0,0,33,8,0,0,0
25,21,▼,https://rgtdb.com/user/126796,Simon Miller sdw,UK,427,390,SOUTHBOROUGH (SDW) BEES,131,0,32,7,0,0,0
26,31,▲,https://rgtdb.com/user/21747,Matthew Feely,Eire,424,370,,0,0,28,7,0,0,0
27,35,▲,https://rgtdb.com/user/69430,Matthew Hammond (m),,416,416,,0,0,1,5,1,0,0
28,30,▲,https://rgtdb.com/user/86973,David wcc Buckley wcc,UK,411,327,WESTERLEY ONE,370,142,30,8,0,0,0
29,22,▼,https://rgtdb.com/user/143480,Mark Rowbottom яʀ,UK,409,409,RASIO RACING,325,0,12,5,0,0,0
30,33,▲,https://rgtdb.com/user/254894,King Ing.  :-) 3r,,403,403,,0,0,18,5,0,0,0
31,24,▼,https://rgtdb.com/user/177199,Julian Fussell sdw,UK,398,398,SOUTHBOROUGH (SDW) HORNETS,352,0,20,6,0,0,0
32,38,▲,https://rgtdb.com/user/126963,Miles Askew [ṀṚ],,381,381,MOON RIDERS 1,381,0,3,4,0,0,1
33,27,▼,https://rgtdb.com/user/175915,Kristen Ege poco,Danmark,371,371,,0,0,13,5,0,0,0
34,28,▼,https://rgtdb.com/user/103369,Kader Allouni poco,UK,364,364,POCOMOTION,364,0,7,4,0,0,0
