pos,last_pos,change,url,name,country,points,best6,team,team points,westerley points,best,race count,win count,2nd count,3rd count
1,1,-,https://rgtdb.com/user/95813,Lisa West tcc,,472,472,TWICKENHAM CC LADIES,128,0,1,6,1,0,1
2,2,-,https://rgtdb.com/user/278058,Claire  Miller,,431,431,TWICKENHAM CC LADIES,136,0,1,5,1,0,0
3,3,-,https://rgtdb.com/user/255577,Wendy Wonderweels-otr,,322,322,,0,0,2,4,0,1,1
4,5,▲,https://rgtdb.com/user/241536,Lynda Lynda v,,276,276,,0,0,21,4,0,0,0
5,8,▲,https://rgtdb.com/user/270667,Gri Pulga,,232,232,,0,0,1,3,1,0,0
6,4,▼,https://rgtdb.com/user/189782,Anna Ronkainen,,200,200,,0,0,1,2,2,0,0
7,6,▼,https://rgtdb.com/user/281557,Ellen Lockett,,171,171,,0,0,1,2,1,0,0
8,14,▲,https://rgtdb.com/user/3964,Lorna Rowland ,,136,136,TWICKENHAM CC LADIES,30,0,20,2,0,0,0
9,7,▼,https://rgtdb.com/user/283647,Claire Thompson,,135,135,TWICKENHAM CC LADIES,31,0,20,2,0,0,0
10,9,▼,https://rgtdb.com/user/128827,Holly Larsen,,100,100,,0,0,1,1,1,0,0
11,10,▼,https://rgtdb.com/user/278269,Joanne Maltby,,96,96,,0,0,5,1,0,0,0
12,11,▼,https://rgtdb.com/user/263153,Karen  Bailey (l),,85,85,,0,0,16,1,0,0,0
13,12,▼,https://rgtdb.com/user/181488,Urška  Korent,,79,79,,0,0,22,1,0,0,0
14,13,▼,https://rgtdb.com/user/57612,Sarah Pitchford ,,75,75,,0,0,26,1,0,0,0
