pos,last_pos,change,url,name,country,points,best6,team,team points,westerley points,best,race count,win count,2nd count,3rd count
1,1,-,https://rgtdb.com/user/160071,Wouter Claes [ṀṚ],Belgium,398,398,MOON RIDERS 1,398,0,1,4,2,2,0
2,2,-,https://rgtdb.com/user/39166,Ned Bowen [d],USA,395,395,,0,0,1,4,2,0,1
3,4,▲,https://rgtdb.com/user/95553,J. Sammut (a),UK,374,374,TEAM POCOMOTION,374,0,3,4,0,0,1
4,5,▲,https://rgtdb.com/user/79121,James Melville,UK,366,366,GLASGOW UNITED CC,366,0,5,4,0,0,0
5,7,▲,https://rgtdb.com/user/185830,James Currie sdw b,,363,363,,0,0,2,4,0,1,1
6,8,▲,https://rgtdb.com/user/155757,Jan Linden poco,Netherlands,363,363,,0,0,5,4,0,0,0
7,6,▼,https://rgtdb.com/user/79305,Carlos Cela,Espana,362,362,,0,0,6,4,0,0,0
8,9,▲,https://rgtdb.com/user/621,Jared Millar (m),,361,361,,0,0,3,4,0,0,1
9,10,▲,https://rgtdb.com/user/132783,Mathias  Bergkvist,Sweden,352,352,,0,0,9,4,0,0,0
10,11,▲,https://rgtdb.com/user/141761,Alasdair Mcalpine,UK,332,332,GLASGOW UNITED CC,332,0,14,4,0,0,0
11,13,▲,https://rgtdb.com/user/198726,Mario  Cavelius,,328,328,,0,0,4,4,0,0,0
12,12,-,https://rgtdb.com/user/140561,Shawn Murtough,,307,307,,0,0,19,4,0,0,0
13,18,▲,https://rgtdb.com/user/6305,Mike Ade,UK,284,284,,0,0,16,4,0,0,0
14,3,▼,https://rgtdb.com/user/126963,Miles Askew [ṀṚ],,283,283,MOON RIDERS 1,283,0,4,3,0,0,0
15,16,▲,https://rgtdb.com/user/150787,Paul Hindson,,278,278,,0,0,21,4,0,0,0
16,23,▲,https://rgtdb.com/user/134948,Nick Greenhalghяʀ,UK,277,277,RASIO RACING,277,0,7,3,0,0,0
17,17,-,https://rgtdb.com/user/267104,Simon  Hall [wvs],,276,276,WATFORD VELO SPORT RT,218,0,23,4,0,0,0
18,20,▲,https://rgtdb.com/user/171135,Tomasz Poniatow. ṀṚ,Poland,275,275,,0,0,22,4,0,0,0
19,21,▲,https://rgtdb.com/user/229031,Kasper Hededam,Danmark,274,274,,0,0,10,4,0,0,0
20,19,▼,https://rgtdb.com/user/177844,Tom  Moss sdw,UK,271,271,,0,0,26,4,0,0,0
21,24,▲,https://rgtdb.com/user/177199,Julian Fussell sdw,UK,264,264,,0,0,20,4,0,0,0
22,27,▲,https://rgtdb.com/user/126796,Simon Miller sdw,UK,238,238,,0,0,32,4,0,0,0
23,26,▲,https://rgtdb.com/user/21747,Matthew Feely,Eire,230,230,,0,0,36,4,0,0,0
24,29,▲,https://rgtdb.com/user/267097,Darryl Green - wvs,,230,230,,0,0,25,4,0,0,0
25,35,▲,https://rgtdb.com/user/179862,Kester Dobson,,226,226,,0,0,21,3,0,0,0
26,33,▲,https://rgtdb.com/user/61282,Daniel Neugebauer,Deutschland,222,222,,0,0,24,3,0,0,0
27,14,▼,https://rgtdb.com/user/42607,Brian Vince [wvs],,219,219,WATFORD VELO SPORT RT,155,0,16,3,0,0,0
28,31,▲,https://rgtdb.com/user/94149,James Dicks,,215,215,,0,0,42,4,0,0,0
29,15,▼,https://rgtdb.com/user/175915,Kristen Ege poco,Danmark,211,211,,0,0,22,3,0,0,0
30,38,▲,https://rgtdb.com/user/70138,Andrew Beale c,UK,207,207,WESTERLEY TWO,207,60,18,3,0,0,0
31,36,▲,https://rgtdb.com/user/96645,Marcin SzkudlarekṀṚ,Poland,206,206,MOON RIDERS 2,206,0,41,4,0,0,0
32,37,▲,https://rgtdb.com/user/243207,Ian Sudds (m),,205,205,,0,0,42,4,0,0,0
33,39,▲,https://rgtdb.com/user/175441,Tomas Nygren,Sweden,198,198,,0,0,44,4,0,0,0
34,22,▼,https://rgtdb.com/user/151852,Hans Stuifbergen,,189,189,,0,0,2,2,0,1,0
35,25,▼,https://rgtdb.com/user/103369,Kader Allouni poco,UK,179,179,TEAM POCOMOTION,179,0,10,2,0,0,0
36,43,▲,https://rgtdb.com/user/86973,David wcc Buckley wcc,UK,178,178,WESTERLEY ONE,137,72,50,4,0,0,0
37,61,▲,https://rgtdb.com/user/143480,Mark Rowbottom яʀ,UK,173,173,,0,0,12,2,0,0,0
38,28,▼,https://rgtdb.com/user/270710,Jack Samways[wvs],,172,172,WATFORD VELO SPORT RT,172,0,13,2,0,0,0
39,42,▲,https://rgtdb.com/user/91958,Gt Thakkar,UK,169,169,WESTERLEY ONE,105,72,48,4,0,0,0
40,45,▲,https://rgtdb.com/user/55374,Andrew Goff,,169,169,MOON RIDERS 2,135,0,52,4,0,0,0
41,44,▲,https://rgtdb.com/user/170063,Marco Verhoogt,Netherlands,164,164,,0,0,39,3,0,0,0
42,30,▼,https://rgtdb.com/user/84367,Doug Hart,,161,161,,0,0,20,2,0,0,0
43,62,▲,https://rgtdb.com/user/189298,Rob Miller wlc,USA,160,160,,0,0,18,2,0,0,0
44,32,▼,https://rgtdb.com/user/67054,Johan Oelofse sanz,New Zealand,156,156,TEAM SANZ,156,0,12,2,0,0,0
45,34,▼,https://rgtdb.com/user/36792,Francois Iker [ṀṚ],Belgium,152,152,,0,0,18,2,0,0,0
46,86,▲,https://rgtdb.com/user/188139,Per Soderberg(m),,152,152,,0,0,15,2,0,0,0
47,85,▲,https://rgtdb.com/user/14162,Will Hutchins,,142,142,,0,0,25,2,0,0,0
48,40,▼,https://rgtdb.com/user/96541,Carl Dickason,New Zealand,139,139,TEAM SANZ,139,0,28,2,0,0,0
49,82,▲,https://rgtdb.com/user/270702,Stuart Gillies tcc,,135,135,,0,0,33,2,0,0,0
50,41,▼,https://rgtdb.com/user/223310,Flemming Bach (m),,134,134,,0,0,27,2,0,0,0
51,92,▲,https://rgtdb.com/user/273772,Terrence Harest,,131,131,,0,0,30,2,0,0,0
52,52,-,https://rgtdb.com/user/42729,Cameron Lees,,128,128,,0,0,64,4,0,0,0
